pet_id,name,species,breed,age
1,Brittany,Cat,Siamese,6
2,David,Dog,Bulldog,5
3,Wendy,Cat,Siamese,4
4,Charlene,Dog,Bulldog,6
5,Jermaine,Dog,Beagle,3
6,Jeffrey,Dog,Chihuahua,7
7,Jessica,Cat,Tabby,1
8,Sandra,Dog,Golden Retriever,3
9,Karen,Cat,British Shorthair,3
10,Jacob,Dog,Border Collie,4
11,Jeffrey,Cat,British Shorthair,9
12,Brianna,Dog,German Shepherd,6
13,Brianna,Cat,Bengal,4
14,Linda,Cat,Siamese,2
15,Cody,Dog,Bulldog,8
16,Steven,Dog,Boxer,9
17,Pedro,Dog,Shih Tzu,5
18,Jason,Cat,British Shorthair,8
19,Amy,Cat,Siamese,8
20,Eric,Dog,German Shepherd,4
21,Lori,Dog,Rottweiler,2
22,Jill,Cat,British Shorthair,7
23,Richard,Cat,Siamese,5
24,Theodore,Dog,Poodle,6
25,Isaiah,Dog,German Shepherd,3
26,Paul,Dog,Cocker Spaniel,1
27,Richard,Dog,Husky,5
28,Stephen,Dog,Cocker Spaniel,8
29,Donna,Dog,Poodle,10
30,Mark,Dog,Rottweiler,5
31,Stephanie,Dog,German Shepherd,10
32,Michaela,Cat,Persian,10
33,Dorothy,Dog,Rottweiler,4
34,Michelle,Cat,British Shorthair,5
35,Barry,Dog,Golden Retriever,2
36,Christopher,Cat,Tabby,5
37,Steven,Cat,British Shorthair,7
38,Nancy,Dog,Golden Retriever,7
39,Colton,Dog,Chihuahua,6
40,Jocelyn,Dog,Border Collie,1
41,Abigail,Dog,Shih Tzu,6
42,Shirley,Cat,Persian,4
43,Jill,Dog,Poodle,1
44,Angela,Cat,Tabby,10
45,Dakota,Cat,Maine Coon,5
46,Nathan,Dog,Poodle,2
47,Kimberly,Dog,Chihuahua,7
48,Timothy,Dog,Chihuahua,10
49,Jeremy,Cat,Maine Coon,6
50,Grant,Dog,Boxer,1
51,Holly,Dog,Chihuahua,8
52,James,Cat,Bengal,7
53,William,Dog,Beagle,1
54,Karen,Dog,Shih Tzu,2
55,Leslie,Dog,Poodle,3
56,Carl,Dog,Border Collie,4
57,Samuel,Dog,Shih Tzu,6
58,Andrew,Dog,Bulldog,2
59,Matthew,Dog,Bulldog,1
60,Timothy,Dog,Bulldog,4
61,Gregory,Dog,Cocker Spaniel,7
62,Derek,Dog,Labrador,7
63,Kathryn,Dog,Dachshund,2
64,Katherine,Cat,Persian,1
65,Samantha,Cat,Bengal,10
66,David,Cat,British Shorthair,6
67,Sara,Cat,Siamese,3
68,Erika,Dog,Bulldog,10
69,Tammie,Dog,Shih Tzu,6
70,Robert,Cat,Siamese,2
71,Connor,Cat,Bengal,5
72,Craig,Dog,Boxer,1
73,Larry,Cat,Persian,8
74,Juan,Cat,Bengal,1
75,Yolanda,Cat,Persian,6
76,Marcus,Cat,British Shorthair,2
77,Teresa,Cat,Bengal,3
78,Danielle,Cat,Siamese,2
79,Joshua,Dog,Chihuahua,2
80,Adam,Dog,Poodle,6
81,Steve,Cat,Bengal,1
82,Robert,Cat,British Shorthair,1
83,Natalie,Cat,Maine Coon,5
84,Danielle,Cat,Maine Coon,4
85,Christina,Cat,British Shorthair,1
86,Erica,Dog,Dachshund,2
87,John,Dog,Dachshund,2
88,Chad,Dog,Chihuahua,1
89,Matthew,Dog,Shih Tzu,5
90,Wendy,Dog,Cocker Spaniel,1
91,Daniel,Dog,Beagle,6
92,Amanda,Dog,Boxer,9
93,Carol,Cat,Siamese,4
94,Teresa,Cat,British Shorthair,3
95,Anthony,Dog,Husky,7
96,Brandon,Cat,Tabby,2
97,Jamie,Dog,Golden Retriever,7
98,Jon,Cat,Bengal,4
99,Chase,Dog,Poodle,2
100,Robert,Cat,Maine Coon,2
101,Christina,Dog,Husky,4
102,Paul,Dog,Shih Tzu,1
103,Mark,Dog,Poodle,5
104,Scott,Dog,Poodle,2
105,Jeffrey,Cat,Maine Coon,9
106,Rebecca,Dog,Bulldog,2
107,Kelly,Dog,Chihuahua,8
108,Julie,Cat,Persian,2
109,Matthew,Dog,Rottweiler,7
110,Robert,Dog,Boxer,1
111,Gene,Cat,Persian,8
112,Rachel,Cat,British Shorthair,5
113,Hailey,Cat,Maine Coon,9
114,Anthony,Dog,Husky,7
115,Joshua,Cat,Tabby,9
116,Chad,Cat,British Shorthair,3
117,Joshua,Cat,Siamese,7
118,Brad,Cat,Persian,7
119,Rachel,Cat,Siamese,4
120,Kimberly,Dog,Bulldog,3
121,Kayla,Dog,Beagle,6
122,Sandra,Cat,Siamese,2
123,George,Dog,Chihuahua,6
124,Billy,Cat,Persian,8
125,Cynthia,Cat,Maine Coon,10
126,Martha,Cat,Maine Coon,10
127,Pamela,Dog,Rottweiler,9
128,Allison,Dog,Boxer,9
129,Jared,Cat,Persian,2
130,Randy,Cat,Tabby,10
131,David,Dog,Labrador,7
132,Carlos,Dog,Husky,9
133,Martha,Dog,Border Collie,6
134,Kimberly,Cat,Persian,3
135,Charles,Cat,Siamese,5
136,Shannon,Cat,Persian,3
137,Tina,Dog,Bulldog,6
138,Robert,Cat,Persian,7
139,Deanna,Dog,Rottweiler,3
140,Kim,Cat,Persian,6
141,James,Cat,British Shorthair,1
142,Michael,Cat,Bengal,7
143,Christine,Cat,Maine Coon,7
144,Joseph,Dog,Dachshund,3
145,James,Cat,British Shorthair,3
146,Brittany,Cat,Tabby,1
147,Nicholas,Cat,British Shorthair,3
148,Leslie,Dog,Boxer,4
149,Jonathan,Cat,Maine Coon,6
150,Matthew,Dog,Cocker Spaniel,1
151,Natalie,Dog,Husky,7
152,Thomas,Dog,Dachshund,10
153,Christy,Dog,Boxer,3
154,Diana,Cat,Tabby,3
155,David,Cat,Siamese,8
156,Stacey,Cat,British Shorthair,5
157,Scott,Dog,Bulldog,9
158,Nancy,Dog,Boxer,1
159,Nancy,Cat,Tabby,10
160,Robert,Dog,Husky,7
161,Mark,Dog,Poodle,6
162,Thomas,Dog,Dachshund,10
163,Carolyn,Cat,Persian,2
164,Timothy,Dog,Cocker Spaniel,7
165,Michael,Cat,Bengal,7
166,Dustin,Cat,Siamese,10
167,Angela,Cat,Siamese,7
168,Alicia,Cat,Tabby,3
169,Mallory,Dog,Labrador,6
170,Teresa,Cat,Siamese,1
171,Stephanie,Cat,Persian,4
172,Daniel,Cat,Tabby,4
173,Austin,Dog,Bulldog,2
174,Joanna,Dog,Poodle,9
175,Maria,Dog,Golden Retriever,9
176,Shannon,Dog,Dachshund,8
177,Anthony,Dog,Bulldog,7
178,Matthew,Dog,Shih Tzu,2
179,Sandra,Dog,Border Collie,10
180,Nancy,Dog,German Shepherd,4
181,Diana,Cat,Tabby,8
182,Andrea,Cat,Bengal,2
183,Ryan,Dog,Husky,6
184,Larry,Dog,Dachshund,1
185,Carl,Dog,Labrador,6
186,Katrina,Dog,Beagle,8
187,Alicia,Cat,British Shorthair,7
188,Matthew,Dog,Chihuahua,5
189,Erica,Dog,Bulldog,8
190,Brian,Dog,Boxer,8
191,Dylan,Cat,Bengal,8
192,Christian,Cat,Bengal,8
193,Tiffany,Cat,Tabby,6
194,Stephanie,Dog,Shih Tzu,5
195,Jacob,Dog,Dachshund,5
196,Lori,Dog,Boxer,2
197,Arthur,Cat,Siamese,10
198,Holly,Dog,Boxer,3
199,Kathryn,Cat,British Shorthair,3
200,Christian,Dog,Border Collie,2
201,James,Cat,Bengal,2
202,Andrew,Cat,Tabby,1
203,Briana,Cat,Siamese,8
204,Angela,Dog,Golden Retriever,3
205,Kathryn,Cat,Tabby,8
206,Monica,Cat,Siamese,10
207,Joshua,Dog,Cocker Spaniel,10
208,Fernando,Cat,British Shorthair,5
209,Andrea,Dog,Golden Retriever,2
210,Robin,Cat,Siamese,3
211,Stephanie,Cat,Maine Coon,6
212,Michelle,Dog,Boxer,7
213,Richard,Dog,Labrador,3
214,Christopher,Cat,Tabby,9
215,Richard,Cat,Maine Coon,9
216,Daniel,Dog,Cocker Spaniel,8
217,Brian,Dog,German Shepherd,6
218,Christopher,Dog,Chihuahua,3
219,Elizabeth,Dog,Border Collie,4
220,Kevin,Dog,Beagle,6
221,John,Cat,Persian,3
222,Nicholas,Dog,Boxer,8
223,Cathy,Cat,Maine Coon,8
224,Joseph,Cat,Persian,10
225,Sonia,Dog,Poodle,10
226,Miguel,Dog,Poodle,3
227,Michael,Cat,British Shorthair,3
228,Steve,Dog,Chihuahua,10
229,Keith,Cat,Tabby,2
230,Amanda,Cat,Maine Coon,10
231,Joshua,Dog,German Shepherd,3
232,Suzanne,Cat,Tabby,4
233,Ryan,Cat,Persian,3
234,Heather,Dog,Husky,2
235,Michael,Dog,German Shepherd,1
236,Lori,Dog,Chihuahua,9
237,Ricky,Dog,Cocker Spaniel,3
238,Dylan,Dog,Husky,4
239,Daniel,Dog,Beagle,4
240,Jessica,Cat,Maine Coon,10
241,Jonathan,Dog,Boxer,4
242,Drew,Dog,Golden Retriever,1
243,Scott,Dog,Beagle,4
244,Amanda,Dog,Border Collie,6
245,Samuel,Dog,German Shepherd,3
246,Jeremy,Cat,British Shorthair,8
247,Christina,Cat,Siamese,3
248,Felicia,Dog,Bulldog,5
249,Judith,Cat,Maine Coon,10
250,Justin,Dog,Dachshund,2
251,Samantha,Cat,Tabby,5
252,Veronica,Dog,Beagle,4
253,Martin,Dog,Chihuahua,9
254,Lisa,Cat,Persian,6
255,Mark,Cat,Tabby,4
256,Ricky,Dog,Boxer,3
257,Harry,Cat,Bengal,9
258,Alex,Cat,Persian,8
259,Brian,Dog,Boxer,5
260,Charles,Dog,Chihuahua,4
261,Jennifer,Dog,Husky,5
262,Teresa,Dog,Husky,7
263,Robert,Cat,British Shorthair,2
264,Karina,Cat,Bengal,3
265,Sonya,Cat,British Shorthair,1
266,Eduardo,Cat,Bengal,8
267,Michael,Dog,Boxer,7
268,Michael,Dog,Golden Retriever,3
269,Jesse,Cat,Persian,6
270,Crystal,Dog,Rottweiler,1
271,Veronica,Cat,Bengal,7
272,Daniel,Cat,British Shorthair,7
273,Matthew,Dog,Border Collie,1
274,Diane,Dog,Rottweiler,2
275,Jennifer,Cat,Siamese,2
276,Cynthia,Cat,Tabby,3
